ADC B;88;10001000
ADD B;80;10000000
ANA B;A0;10100000
CALL;FF;11111111
CLC;09;00001001
HLT;76;01110110
IN M;D7;11010111
INC A;3C;00111100
JGT M;e8;11101000
JLT M;e1;11100001
JMP M;C3;11000011
JNZ M;f0;11110000
JZ M;CA;11001010
MOV A,B;78;01111000
MOV A,M;22;00100010
MOV A,REG;16;00010110
MOV B,A;47;01000111
MOV B,M;28;00101000
MOV B,REG;36;00110110
MOV H,A;67;01100111
MOV L,A;6F;01101111
MOV M,A;10;00010000
MOV M,B;49;01001001
MOV M,REG;4F;01001111
MOV REG,M;2E;00101110
MOVI A,BYTE;3E;00111110
MOVI B,BYTE;06;00000110
MOVI REG,BYTE;0B;00001011
MOVI SPH,BYTE;1C;00011100
MOVI SPL,BYTE;1F;00011111
ORA B;B0;10110000
OUT M;D3;11010011
POP A;FF;11111111
POP B;FF;11111111
POP F;FF;11111111
POP H;FF;11111111
POP L;FF;11111111
POP M,xxxx;FF;11111111
POP REG;FF;11111111
POP SPH;FF;11111111
POP SPL;FF;11111111
PUSH A;57;01010111
PUSH B;5A;01011010
PUSH F;6C;01101100
PUSH H;5D;01011101
PUSH L;60;01100000
PUSH M,xxxx;A2;10100010
PUSH REG;71;01110001
PUSH SPH;63;01100011
PUSH SPL;69;01101001
RET;FF;11111111
SBC B;98;10011000
SUB B;90;10010000
