INSTRUCTION;REG;OPCODE;MULTIBYTES
ADC B;^(ADC B)$;88;0
ADD B;^(ADD B)$;80;0
ANA B;^(ANA B)$;A0;0
CALL <XXXX>;^(CALL ((0X[0-9A-F]{4})|(\w+)))$;FF;1
CLC;^(CLC)$;9;0
HLT;^(HLT)$;76;0
IN <XX>;^(IN )((\d+)|(0X[0-9A-F]{1,2}))$;D7;1
INC A;^(INC A)$;3C;0
JGT M;^(JGT ((0X[0-9A-F]{4})|(\w+)))$;e8;1
JLT M;^(JLT ((0X[0-9A-F]{4})|(\w+)))$;e1;1
JMP M;^(JMP ((0X[0-9A-F]{4})|(\w+)))$;C3;1
JNZ M;^(JNZ ((0X[0-9A-F]{4})|(\w+)))$;f0;1
JZ M;^(JZ ((0X[0-9A-F]{4})|(\w+)))$;CA;1
MOV A,B;^(MOV A,B)$;78;0
MOV <XXXX>,A;^(MOV 0X[A-F0-9]{4},A)$;22;1
MOV B,A;^(MOV B,A)$;47;0
MOV B,M;^(MOV B,0X[0-9A-F]{4})$;28;1
MOV H,A;^(MOV H,A)$;67;0
MOV L,A;^(MOV L,A)$;6F;0
MOV M,A;^(MOV ((\w+)|(0x[0-9A-Z]{4})),A)$;10;1
MOV M,B;^(MOV M,B)$;49;1
MOVI A,BYTE;^(MOVI A,){1}((\d{1,3})|(0X[0-9A-F]{1,2}))$;3E;1
MOVI B,BYTE;^(MOVI B,){1}((\d{1,3})|(0X[0-9A-F]{1,2}))$;6;1
MOVI SPH,BYTE;^(MOVI SPH,){1}((\d{1,3})|(0X[0-9A-F]{1,2}))$;1C;1
MOVI SPL,BYTE;^(MOVI SPL,){1}((\d{1,3})|(0X[0-9A-F]{1,2}))$;1F;1
ORA B;^(ORA B)$;B0;0
OUT <XX>;^(OUT )((\d+)|(0X[0-9A-F]{1,2}))$;D3;1
POP A;^(ORA B)$;FF;0
POP B;^(ORA B)$;FF;0
POP F;^(ORA B)$;FF;0
POP H;^(ORA B)$;FF;0
POP L;^(ORA B)$;FF;0
POP SPH;^(POP SPH)$;FF;0
POP SPL;^(POP SPL)$;FF;0
PUSH A;^(PUSH A)$;57;0
PUSH B;^(PUSH B)$;5A;0
PUSH F;^(PUSH F)$;6C;0
PUSH H;^(PUSH H)$;5D;0
PUSH L;^(PUSH L)$;60;0
PUSH SPH;^(PUSH SPH)$;63;0
PUSH SPL;^(PUSH SPL)$;69;0
PUSH M,XXXX;^(PUSH M,0X[A-F0-9]{4})$;A2;1
RET;^(RET)$;FF;0
SBC B;^(SBC B)$;98;0
SUB B;^(SUB B)$;90;0
MUL B;^(MUL B)$;41;0
DIV B;^(DIV B)$;43;0
